# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
5	5	0.0265	WP_013202206.1	WP_225702167.1	WP_222681770.1	WP_014539578.1	WP_012442779.1
5	5	0.0432	WP_013200514.1	WP_067433914.1	WP_245006688.1	WP_012667009.1	WP_012440387.1
3	4	0.128	WP_013204437.1,WP_013202185.1	WP_067430534.1	WP_222681464.1	*	*
3	4	0.103	WP_013204441.1	WP_225700746.1	WP_222682188.1,WP_222681442.1	*	*
3	4	0.113	WP_013202996.1	*	*	WP_012668354.1,WP_012668088.1	WP_012440748.1
3	5	0.189	WP_013200156.1,WP_013201133.1	*	WP_222682234.1,WP_222681713.1	*	WP_012440333.1
3	4	0.141	WP_013201725.1,WP_013202667.1	WP_209500457.1	WP_062743687.1	*	*
3	4	0.127	WP_013201815.1	*	WP_245006698.1	WP_012669130.1,WP_012669138.1	*
3	4	0.111	*	WP_067427541.1	WP_137268601.1,WP_118663791.1	*	WP_012440226.1
3	4	0.109	WP_013200001.1	*	*	WP_226060679.1	WP_042958395.1,WP_012443467.1
3	4	0.134	WP_013201920.1	WP_225701089.1	WP_062744539.1,WP_062743481.1	*	*
3	4	0.117	WP_231853690.1	WP_187485783.1	*	*	WP_012442567.1,WP_012443005.1
3	4	0.101	WP_013204030.1	WP_225701734.1,WP_225701081.1	WP_062746026.1	*	*
4	4	0.0568	WP_013203996.1	WP_187485361.1	WP_187510168.1	*	WP_012441141.1
5	5	0.0198	WP_013201360.1	WP_187486131.1	WP_187509559.1	WP_015899051.1	WP_012442741.1
3	5	0.147	WP_157868020.1,WP_013199889.1,WP_041692047.1	WP_187488071.1	WP_062743589.1	*	*
3	4	0.125	WP_013200622.1	*	*	WP_012666988.1,WP_231839710.1	WP_231853313.1
5	5	0.0459	WP_071822131.1	WP_225701113.1	WP_222681884.1	WP_014539694.1	WP_012442884.1
3	4	0.104	*	WP_225702036.1	WP_137268509.1,WP_118665616.1	*	WP_012443026.1
3	4	0.121	WP_013201253.1,WP_013200564.1	WP_187486167.1	WP_062745501.1	*	*
5	8	0.102	WP_013202944.1	WP_225701508.1,WP_225701245.1	WP_191927493.1	WP_012666570.1,WP_012667720.1	WP_012441075.1,WP_012439967.1
5	8	0.118	WP_013202552.1	WP_067431508.1	WP_222682219.1,WP_062746334.1	WP_012667853.1,WP_012667852.1	WP_012441205.1,WP_012441206.1
4	5	0.107	WP_013202846.1	*	WP_191927249.1,WP_187510149.1	WP_012668794.1	WP_012442102.1
4	5	0.11	WP_013202848.1	*	WP_222681636.1,WP_062742686.1	WP_012668796.1	WP_012442104.1
4	5	0.131	WP_013202367.1	WP_225701640.1	WP_222682274.1,WP_062746073.1	*	WP_042958598.1
4	5	0.15	WP_013199829.1,WP_013199796.1	WP_225702118.1	*	WP_104945008.1	WP_012440264.1
4	5	0.121	WP_013202933.1,WP_013200422.1	*	WP_062748020.1	WP_104945083.1	WP_012441087.1
4	5	0.117	WP_013203969.1,WP_013204455.1	WP_225701044.1	WP_222681910.1	*	WP_012442144.1
4	5	0.115	WP_013202236.1,WP_013203063.1	WP_225701483.1	*	WP_041473998.1	WP_012441459.1
5	7	0.145	WP_013204231.1,WP_013200678.1	WP_225701793.1,WP_225702051.1	WP_222681874.1	WP_014539738.1	WP_012442927.1
3	7	0.111	WP_157867987.1,WP_231853672.1	*	WP_222681551.1,WP_222682027.1	WP_104945113.1,WP_104945115.1,WP_104945124.1	*
5	7	0.121	WP_041691775.1	WP_187486990.1,WP_225701921.1	WP_118664128.1,WP_062744762.1	WP_012667435.1	WP_012440807.1
3	3	0.12	WP_013204178.1	WP_225701109.1	*	WP_014539359.1	*
3	3	0.264	WP_041692155.1	WP_225701162.1	WP_062743408.1	*	*
3	3	0.111	WP_013202940.1	*	*	WP_012667723.1	WP_012441078.1
4	4	0.0938	WP_013201246.1	*	WP_222681629.1	WP_012666505.1	WP_012442090.1
3	4	0.201	WP_041691933.1	*	WP_062745478.1,WP_222682235.1	*	WP_012440332.1
3	3	0.161	WP_231853661.1	WP_225702000.1	WP_222682374.1	*	*
3	4	0.131	WP_013201131.1	*	WP_222682236.1,WP_062745480.1	*	WP_012440331.1
3	3	0.31	WP_013201603.1	*	*	WP_041474025.1	WP_071819163.1
3	3	0.0884	WP_231853651.1	*	WP_137269515.1	*	WP_012442731.1
5	6	0.19	WP_013200632.1,WP_013201858.1	WP_225700716.1	WP_222681514.1	WP_012666999.1	WP_012440385.1
